imdb_id,name,imdb_rating,meta_score,votes,genres,runtime,certificate,revenue,budget,release_date,language
tt3882082,The Boy,6,42,71371,"Horror, Mystery, Thriller",97,PG-13,74136180,10000000,2016-01-22,English
tt0475290,"Hail, Caesar!",6.3,72,114373,"Comedy, Drama, Music",106,PG-13,63647656,22000000,2016-02-05,English
tt2094766,Assassin's Creed,5.7,36,171470,"Action, Adventure, Sci-Fi",115,PG-13,240697856,125000000,2016-12-21,English
tt3393786,Jack Reacher: Never Go Back,6.1,47,126447,"Action, Thriller",118,PG-13,162146076,60000000,2016-10-21,English
tt3717252,Underworld: Blood Wars,5.8,23,64790,"Action, Adventure, Fantasy",91,R,81093313,35000000,2017-01-06,English
tt2592614,Resident Evil: The Final Chapter,5.5,49,77337,"Action, Horror, Sci-Fi",107,R,312242626,40000000,2017-01-27,English
tt1374989,Pride and Prejudice and Zombies,5.8,45,47720,"Action, Comedy, Fantasy",108,PG-13,16405171,28000000,2016-02-05,English
tt4680182,Colossal,6.2,70,53516,"Comedy, Drama, Fantasy",109,R,4531320,15000000,2017-04-21,English
tt4786282,Lights Out,6.3,58,104964,"Drama, Horror, Mystery",81,PG-13,148868835,4900000,2016-07-22,English
tt3908142,The Love Witch,6.2,82,10382,"Comedy, Horror, Romance",120,Unrated,246218,0,2017-03-10,English
tt2361317,Live by Night,6.4,49,48573,"Action, Crime, Drama",129,R,22678555,108000000,2017-01-13,English
tt5247022,Paterson,7.4,90,58542,"Comedy, Drama, Romance",118,R,9588282,0,2016-11-17,English
tt4034354,Swiss Army Man,7,64,95611,"Comedy, Drama, Fantasy",97,R,4935501,3000000,2016-07-01,English
tt1712261,Triple 9,6.3,52,61767,"Crime, Thriller",115,R,23119442,20000000,2016-02-26,English
tt2387499,Keeping Up with the Joneses,5.9,34,53152,"Action, Comedy",105,PG-13,29918745,40000000,2016-10-21,English
tt2567026,Alice Through the Looking Glass,6.2,34,83211,"Adventure, Family, Fantasy",113,PG,299457024,170000000,2016-05-27,English
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,6,40,79132,"Action, Adventure, Comedy",112,PG-13,245623848,135000000,2016-06-03,English
tt3835080,31,5.1,35,16510,"Horror, Thriller",102,R,850419,1500000,2016-09-16,English
tt1124037,Free State of Jones,6.9,53,46757,"Action, Biography, Drama",139,R,25035950,50000000,2016-06-24,English
tt4682786,Collateral Beauty,6.8,23,81781,"Drama, Romance",97,PG-13,88528280,36000000,2016-12-16,English
tt4572514,Patriots Day,7.4,69,79301,"Action, Crime, Drama",133,R,50549909,45000000,2017-01-13,English
tt4190530,Anthropoid,7.2,59,39554,"Biography, History, Thriller",120,R,5079219,0,2016-09-09,English
tt3797868,The Choice,6.6,26,31523,"Drama, Romance",111,PG-13,23079932,0,2016-02-05,English
tt1473832,Bridget Jones's Baby,6.5,59,62395,"Comedy, Drama, Romance",123,R,211952420,35000000,2016-09-16,English
tt4438848,Neighbors 2: Sorority Rising,5.7,58,106259,Comedy,92,R,108007109,35000000,2016-05-20,English
tt4361050,Ouija: Origin of Evil,6.1,65,49201,"Drama, Horror, Mystery",99,PG-13,81705746,9000000,2016-10-21,English
